symbol,name
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED
DRREDDY,DR. REDDY'S LABORATORIES LIMITED
IOB,INDIAN OVERSEAS BANK
ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
UNITDSPR,UNITED SPIRITS LIMITED
RVNL,RAIL VIKAS NIGAM LIMITED
HEROMOTOCO,HERO MOTOCORP LIMITED
DABUR,DABUR INDIA LIMITED
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED
BOSCHLTD,BOSCH LIMITED
POLYCAB,POLYCAB INDIA LIMITED
INDUSTOWER,INDUS TOWERS LIMITED
CUMMINSIND,CUMMINS INDIA LIMITED
NAUKRI,INFO EDGE (INDIA) LIMITED
INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED
MANKIND,MANKIND PHARMA LIMITED
OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED
INDUSINDBK,INDUSIND BANK LIMITED
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
JINDALSTEL,JINDAL STEEL & POWER LIMITED
SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED
CANBK,CANARA BANK
LUPIN,LUPIN LIMITED
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED
SUZLON,SUZLON ENERGY LIMITED
BHEL,BHARAT HEAVY ELECTRICALS LIMITED
UNIONBANK,UNION BANK OF INDIA
SHREECEM,SHREE CEMENT LIMITED
IDBI,IDBI BANK LIMITED
NHPC,NHPC LIMITED
MAZDOCK,MAZAGON DOCK SHIPBUILDERS LIMITED
OIL,OIL INDIA LIMITED
COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED
ATGL,ADANI TOTAL GAS LIMITED
DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED
MARICO,MARICO LIMITED
PERSISTENT,PERSISTENT SYSTEMS LIMITED
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED
WAAREEENER,WAAREE ENERGIES LIMITED
GODREJPROP,GODREJ PROPERTIES LIMITED
TORNTPOWER,TORRENT POWER LIMITED
GMRAIRPORT,GMR AIRPORTS LIMITED
AUROPHARMA,AUROBINDO PHARMA LIMITED
IDEA,VODAFONE IDEA LIMITED
POLICYBZR,PB FINTECH LIMITED
TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED
MUTHOOTFIN,MUTHOOT FINANCE LIMITED
INDIANB,INDIAN BANK
PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED
IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED
SRF,SRF LIMITED
YESBANK,YES BANK LIMITED
GICRE,GENERAL INSURANCE CORPORATION OF INDIA
BHARATFORG,BHARAT FORGE LIMITED
OBEROIRLTY,OBEROI REALTY LIMITED
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED
ASHOKLEY,ASHOK LEYLAND LIMITED
ALKEM,ALKEM LABORATORIES LIMITED
JSWINFRA,JSW INFRASTRUCTURE LIMITED
KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED
NMDC,NMDC LIMITED
BHARTIHEXA,BHARTI HEXACOM LIMITED
PIIND,PI INDUSTRIES LIMITED
SUPREMEIND,SUPREME INDUSTRIES LIMITED
LINDEINDIA,LINDE INDIA LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED
FACT,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED
PHOENIXLTD,THE PHOENIX MILLS LIMITED
IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED
JSL,JINDAL STAINLESS LIMITED
UNOMINDA,UNO MINDA LIMITED
SCHAEFFLER,SCHAEFFLER INDIA LIMITED
UCOBANK,UCO BANK
THERMAX,THERMAX LIMITED
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
VOLTAS,VOLTAS LIMITED
MRF,MRF LIMITED
MPHASIS,MPHASIS LIMITED
CONCOR,CONTAINER CORPORATION OF INDIA LIMITED
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED
LTTS,L&T TECHNOLOGY SERVICES LIMITED
POWERINDIA,HITACHI ENERGY INDIA LIMITED
SAIL,STEEL AUTHORITY OF INDIA LIMITED
TATACOMM,TATA COMMUNICATIONS LIMITED
NYKAA,FSN E COMMERCE VENTURES LIMITED
UBL,UNITED BREWERIES LIMITED
PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED
ASTRAL,ASTRAL LIMITED
IDFCFIRSTB,IDFC FIRST BANK LIMITED
PETRONET,PETRONET LNG LIMITED
BANKINDIA,BANK OF INDIA
HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED
PREMIERENE,PREMIER ENERGIES LIMITED
CENTRALBK,CENTRAL BANK OF INDIA
BSE,BSE LIMITED
SUNDARMFIN,SUNDARAM FINANCE LIMITED
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED
SJVN,SJVN LIMITED
COCHINSHIP,COCHIN SHIPYARD LIMITED
FEDERALBNK,THE FEDERAL BANK  LIMITED
HEXT,HEXAWARE TECHNOLOGIES LIMITED
PAGEIND,PAGE INDUSTRIES LIMITED
COFORGE,COFORGE LIMITED
AUBANK,AU SMALL FINANCE BANK LIMITED
VMM,VISHAL MEGA MART LIMITED
MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED
LLOYDSME,LLOYDS METALS AND ENERGY LIMITED
BDL,BHARAT DYNAMICS LIMITED
KPITTECH,KPIT TECHNOLOGIES LIMITED
TATAELXSI,TATA ELXSI LIMITED
GVT&D,GE VERNOVA T&D INDIA LIMITED
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
ACC,ACC LIMITED
FORTIS,FORTIS HEALTHCARE LIMITED
PAYTM,ONE 97 COMMUNICATIONS LIMITED
AWL,ADANI WILMAR LIMITED
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED
HONAUT,HONEYWELL AUTOMATION INDIA LIMITED
OLAELEC,OLA ELECTRIC MOBILITY LIMITED
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED
MAHABANK,BANK OF MAHARASHTRA
BIOCON,BIOCON LIMITED
UPL,UPL LIMITED
ESCORTS,ESCORTS KUBOTA LIMITED
JUBLFOOD,JUBILANT FOODWORKS LIMITED
APLAPOLLO,APL APOLLO TUBES LIMITED
EXIDEIND,EXIDE INDUSTRIES LIMITED
SONACOMS,SONA BLW PRECISION FORGINGS LIMITED
TATATECH,TATA TECHNOLOGIES LIMITED
LTF,L&T FINANCE LIMITED
GUJGASLTD,GUJARAT GAS LIMITED
360ONE,360 ONE WAM LIMITED
3MINDIA,3M INDIA LIMITED
MFSL,MAX FINANCIAL SERVICES LIMITED
KEI,KEI INDUSTRIES LIMITED
AIAENG,AIA ENGINEERING LIMITED
DEEPAKNTR,DEEPAK NITRITE LIMITED
NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED
BLUESTARCO,BLUE STAR LIMITED
NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED
PSB,PUNJAB & SIND BANK
APARINDS,APAR INDUSTRIES LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
IPCALAB,IPCA LABORATORIES LIMITED
LICHSGFIN,LIC HOUSING FINANCE LIMITED
NLCINDIA,NLC INDIA LIMITED
M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED
CRISIL,CRISIL LIMITED
GODREJIND,GODREJ INDUSTRIES LIMITED
DALBHARAT,DALMIA BHARAT LIMITED
SYNGENE,SYNGENE INTERNATIONAL LIMITED
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED
METROBRAND,METRO BRANDS LIMITED
JKCEMENT,JK CEMENT LIMITED
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED
IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED
IGL,INDRAPRASTHA GAS LIMITED
ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED
APOLLOTYRE,APOLLO TYRES LIMITED
FIRSTCRY,BRAINBEES SOLUTIONS LIMITED
STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED
GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED
MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED
EMAMILTD,EMAMI LIMITED
KPRMILL,K.P.R. MILL LIMITED
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
SUNTV,SUN TV NETWORK LIMITED
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED
MANYAVAR,VEDANT FASHIONS LIMITED
BANDHANBNK,BANDHAN BANK LIMITED
GLAND,GLAND PHARMA LIMITED
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED
MEDANTA,GLOBAL HEALTH LIMITED
MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED
BRIGADE,BRIGADE ENTERPRISES LIMITED
NBCC,NBCC (INDIA) LIMITED
HINDCOPPER,HINDUSTAN COPPER LIMITED
POONAWALLA,POONAWALLA FINCORP LIMITED
PPLPHARMA,PIRAMAL PHARMA LIMITED
JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED
DELHIVERY,DELHIVERY LIMITED
GILLETTE,GILLETTE INDIA LIMITED
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED
ABREL,ADITYA BIRLA REAL ESTATE LIMITED
BASF,BASF INDIA LIMITED
ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED
AEGISLOG,AEGIS LOGISTICS LIMITED
ITI,ITI LIMITED
RADICO,RADICO KHAITAN LIMITED
SUNDRMFAST,SUNDRAM FASTENERS LIMITED
TIMKEN,TIMKEN INDIA LIMITED
TATACHEM,TATA CHEMICALS LIMITED
CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED
JYOTICNC,JYOTI CNC AUTOMATION LIMITED
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED
LALPATHLAB,DR. LAL PATH LABS LIMITED
INOXWIND,INOX WIND LIMITED
HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED
LAURUSLABS,LAURUS LABS LIMITED
EMCURE,EMCURE PHARMACEUTICALS LIMITED
GRINDWELL,GRINDWELL NORTON LIMITED
WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED
SKFINDIA,SKF INDIA LIMITED
ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED
HATSUN,HATSUN AGRO PRODUCT LIMITED
NH,NARAYANA HRUDAYALAYA LIMITED
NATCOPHARM,NATCO PHARMA LIMITED
KEC,KEC INTERNATIONAL LIMITED
RATNAMANI,RATNAMANI METALS & TUBES LIMITED
PFIZER,PFIZER LIMITED
EIHOTEL,EIH LIMITED
CESC,CESC LIMITED
KIOCL,KIOCL LIMITED
PEL,PIRAMAL ENTERPRISES LIMITED
POLYMED,POLY MEDICURE LIMITED
ANGELONE,ANGEL ONE LIMITED
PNBHOUSING,PNB HOUSING FINANCE LIMITED
IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED
CASTROLIND,CASTROL INDIA LIMITED
KANSAINER,KANSAI NEROLAC PAINTS LIMITED
NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED
IRCON,IRCON INTERNATIONAL LIMITED
JWL,JUPITER WAGONS LIMITED
TRITURBINE,TRIVENI TURBINE LIMITED
SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED
ANANTRAJ,ANANT RAJ LIMITED
FSL,FIRSTSOURCE SOLUTIONS LIMITED
ATUL,ATUL LIMITED
CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED
AFFLE,AFFLE (INDIA) LIMITED
TEJASNET,TEJAS NETWORKS LIMITED
FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED
JBMA,JBM AUTO LIMITED
KAJARIACER,KAJARIA CERAMICS LIMITED
GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED
CYIENT,CYIENT LIMITED
GSPL,GUJARAT STATE PETRONET LIMITED
FINCABLES,FINOLEX CABLES LIMITED
ELGIEQUIP,ELGI EQUIPMENTS LIMITED
KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED
ASTERDM,ASTER DM HEALTHCARE LIMITED
RAMCOCEM,THE RAMCO CEMENTS LIMITED
JINDALSAW,JINDAL SAW LIMITED
BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED
AARTIIND,AARTI INDUSTRIES LIMITED
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED
CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED
VINATIORGA,VINATI ORGANICS LIMITED
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED
SWANENERGY,SWAN ENERGY LIMITED
CONCORDBIO,CONCORD BIOTECH LIMITED
NCC,NCC LIMITED
VGUARD,V-GUARD INDUSTRIES LIMITED
PTCIL,PTC INDUSTRIES LIMITED
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
IIFL,IIFL FINANCE LIMITED
RELAXO,RELAXO FOOTWEARS LIMITED
HFCL,HFCL LIMITED
BLUEDART,BLUE DART EXPRESS LIMITED
CHALET,CHALET HOTELS LIMITED
CELLO,CELLO WORLD LIMITED
AFCONS,AFCONS INFRASTRUCTURE LIMITED
AADHARHFC,AADHAR HOUSING FINANCE LIMITED
WELCORP,WELSPUN CORP LIMITED
TBOTEK,TBO TEK LIMITED
BATAINDIA,BATA INDIA LIMITED
RRKABEL,R R KABEL LIMITED
TRIDENT,TRIDENT LIMITED
SAGILITY,SAGILITY INDIA LIMITED
JYOTHYLAB,JYOTHY LABS LIMITED
FINPIPE,FINOLEX INDUSTRIES LIMITED
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED
SONATSOFTW,SONATA SOFTWARE LIMITED
CREDITACC,CREDITACCESS GRAMEEN LIMITED
KFINTECH,KFIN TECHNOLOGIES LIMITED
GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED
ERIS,ERIS LIFESCIENCES LIMITED
AMBER,AMBER ENTERPRISES INDIA LIMITED
KARURVYSYA,KARUR VYSYA BANK LIMITED
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED
KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED
JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED
IFCI,IFCI LIMITED
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED
LMW,LMW LIMITED
BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED
BEML,BEML LIMITED
BSOFT,BIRLASOFT LIMITED
RKFORGE,RAMKRISHNA FORGINGS LIMITED
DCMSHRIRAM,DCM SHRIRAM LIMITED
NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED
WOCKPHARMA,WOCKHARDT LIMITED
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
CGCL,CAPRI GLOBAL CAPITAL LIMITED
ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED
IEX,INDIAN ENERGY EXCHANGE LIMITED
HBLENGINE,HBL ENGINEERING LIMITED
NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED
VENTIVE,VENTIVE HOSPITALITY LIMITED
APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED
SOBHA,SOBHA LIMITED
ANANDRATHI,ANAND RATHI WEALTH LIMITED
BLS,BLS INTERNATIONAL SERVICES LIMITED
JUBLPHARMA,JUBILANT PHARMOVA LIMITED
WELSPUNLIV,WELSPUN LIVING LIMITED
NEULANDLAB,NEULAND LABORATORIES LIMITED
INDIAMART,INDIAMART INTERMESH LIMITED
PCBL,PCBL LIMITED
ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED
AKZOINDIA,AKZO NOBEL INDIA LIMITED
MGL,MAHANAGAR GAS LIMITED
KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED
DOMS,DOMS INDUSTRIES LIMITED
PGEL,PG ELECTROPLAST LIMITED
CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED
FINEORG,FINE ORGANIC INDUSTRIES LIMITED
GRINFRA,G R INFRAPROJECTS LIMITED
ZENTEC,ZEN TECHNOLOGIES LIMITED
ACMESOLAR,ACME SOLAR HOLDINGS LIMITED
RITES,RITES LIMITED
REDINGTON,REDINGTON LIMITED
SAILIFE,SAI LIFE SCIENCES LIMITED
KSB,KSB LIMITED
SANOFI,SANOFI INDIA LIMITED
SPLPETRO,SUPREME PETROCHEM LIMITED
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED
NSLNISP,NMDC STEEL LIMITED
INDGN,INDEGENE LIMITED
GODREJAGRO,GODREJ AGROVET LIMITED
RPOWER,RELIANCE POWER LIMITED
NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED
EIDPARRY,EID PARRY INDIA LIMITED
CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED
GRAVITA,GRAVITA INDIA LIMITED
RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED
VTL,VARDHMAN TEXTILES LIMITED
ALIVUS,ALIVUS LIFE SCIENCES LTD
ECLERX,ECLERX SERVICES LIMITED
GRANULES,GRANULES INDIA LIMITED
SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED
RAINBOW,RAINBOW CHILDRENS MEDICARE LIMITED
NAVA,NAVA LIMITED
ELECON,ELECON ENGINEERING COMPANY LIMITED
GPIL,GODAWARI POWER AND ISPAT LIMITED
SARDAEN,SARDA ENERGY & MINERALS LIMITED
PRAJIND,PRAJ INDUSTRIES LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED
INGERRAND,INGERSOLL RAND (INDIA) LIMITED
RAYMONDLSL,RAYMOND LIFESTYLE LIMITED
OLECTRA,OLECTRA GREENTECH LIMITED
ZYDUSWELL,ZYDUS WELLNESS LIMITED
HONASA,HONASA CONSUMER LIMITED
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED
IWEL,INOX WIND ENERGY LIMITED
ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED
WESTLIFE,WESTLIFE FOODWORLD LIMITED
ATHERENERG,ATHER ENERGY LIMITED
LTFOODS,LT FOODS LIMITED
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED
MINDACORP,MINDA CORPORATION LIMITED
CUB,CITY UNION BANK LIMITED
INTELLECT,INTELLECT DESIGN ARENA LIMITED
NUVOCO,NUVOCO VISTAS CORPORATION LIMITED
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED
AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED
TARIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED
TTKPRESTIG,TTK PRESTIGE LIMITED
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED
RBLBANK,RBL BANK LIMITED
ENGINERSIN,ENGINEERS INDIA LIMITED
RHIM,RHI MAGNESITA INDIA LIMITED
MARKSANS,MARKSANS PHARMA LIMITED
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED
TEGA,TEGA INDUSTRIES LIMITED
AETHER,AETHER INDUSTRIES LIMITED
JMFINANCIL,JM FINANCIAL LIMITED
SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED
CEATLTD,CEAT LIMITED
SCI,SHIPPING CORPORATION OF INDIA LIMITED
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED
J&KBANK,THE JAMMU & KASHMIR BANK LIMITED
USHAMART,USHA MARTIN LIMITED
TANLA,TANLA PLATFORMS LIMITED
STAR,STRIDES PHARMA SCIENCE LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LIMITED
CANFINHOME,CAN FIN HOMES LIMITED
BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED
JUBLINGREA,JUBILANT INGREVIA LIMITED
EUREKAFORB,EUREKA FORBES LIMITED
MAPMYINDIA,C.E. INFO SYSTEMS LIMITED
INDIACEM,THE INDIA CEMENTS LIMITED
KPIGREEN,KPI GREEN ENERGY LIMITED
REDTAPE,REDTAPE LIMITED
HAPPYFORGE,HAPPY FORGINGS LIMITED
METROPOLIS,METROPOLIS HEALTHCARE LIMITED
JKTYRE,JK TYRE & INDUSTRIES LIMITED
INOXINDIA,INOX INDIA LIMITED
CERA,CERA SANITARYWARE LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED
VESUVIUS,VESUVIUS INDIA LIMITED
QUESS,QUESS CORP LIMITED
PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED
BAJAJELEC,BAJAJ ELECTRICALS LIMITED
GRAPHITE,GRAPHITE INDIA LIMITED
PNCINFRA,PNC INFRATECH LIMITED
LEMONTREE,LEMON TREE HOTELS LIMITED
SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED
NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED
ISGEC,ISGEC HEAVY ENGINEERING LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED
RTNINDIA,RATTANINDIA ENTERPRISES LIMITED
SYMPHONY,SYMPHONY LIMITED
PURVA,PURAVANKARA LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
BIRLACORPN,BIRLA CORPORATION LIMITED
SAREGAMA,SAREGAMA INDIA LIMITED
DBREALTY,VALOR ESTATE LIMITED
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED
ARVIND,ARVIND LIMITED
THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED
SFL,SHEELA FOAM LIMITED
RELINFRA,RELIANCE INFRASTRUCTURE LIMITED
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED
EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED
HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED
PNGJL,P N GADGIL JEWELLERS LIMITED
FORCEMOT,FORCE MOTORS LIMITED
JUSTDIAL,JUST DIAL LIMITED
ROUTE,ROUTE MOBILE LIMITED
HGINFRA,H.G. INFRA ENGINEERING LIMITED
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED
RENUKA,SHREE RENUKA SUGARS LIMITED
VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED
SAMMAANCAP,SAMMAAN CAPITAL LIMITED
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED
AZAD,AZAD ENGINEERING LIMITED
ESABINDIA,ESAB INDIA LIMITED
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
TIPSMUSIC,TIPS MUSIC LIMITED
WABAG,VA TECH WABAG LIMITED
